<<<<<<< HEAD
species,body weight in kg,brain weight in g,"slow wave (""nondreaming"") sleep (hrs/day)","paradoxical (""dreaming"") sleep (hrs/day)",total sleep (hrs/day)  (sum of slow wave and paradoxical sleep),maximum life span (years),gestation time (days),predation index (1-5),sleep exposure index (1-5),overall danger index (1-5)
African elephant,6654,5712,-999,-999,3.3,38.6,645,3,5,3
African giant pouched rat,1,6.6,6.3,2,8.3,4.5,42,3,1,3
Arctic Fox,3.385,44.5,-999,-999,12.5,14,60,1,1,1
Arctic ground squirrel,0.92,5.7,-999,-999,16.5,-999,25,5,2,3
Asian elephant,2547,4603,2.1,1.8,3.9,69,624,3,5,4
Baboon,10.55,179.5,9.1,0.7,9.8,27,180,4,4,4
Big brown bat,0.023,0.3,15.8,3.9,19.7,19,35,1,1,1
Brazilian tapir,160,169,5.2,1,6.2,30.4,392,4,5,4
Cat,3.3,25.6,10.9,3.6,14.5,28,63,1,2,1
Chimpanzee,52.16,440,8.3,1.4,9.7,50,230,1,1,1
Chinchilla,0.425,6.4,11,1.5,12.5,7,112,5,4,4
Cow,465,423,3.2,0.7,3.9,30,281,5,5,5
Desert hedgehog,0.55,2.4,7.6,2.7,10.3,-999,-999,2,1,2
Donkey,187.1,419,-999,-999,3.1,40,365,5,5,5
Eastern American mole,0.075,1.2,6.3,2.1,8.4,3.5,42,1,1,1
Echidna,3,25,8.6,0,8.6,50,28,2,2,2
European hedgehog,0.785,3.5,6.6,4.1,10.7,6,42,2,2,2
Galago,0.2,5,9.5,1.2,10.7,10.4,120,2,2,2
Genet,1.41,17.5,4.8,1.3,6.1,34,-999,1,2,1
Giant armadillo,60,81,12,6.1,18.1,7,-999,1,1,1
Giraffe,529,680,-999,0.3,-999,28,400,5,5,5
Goat,27.66,115,3.3,0.5,3.8,20,148,5,5,5
Golden hamster,0.12,1,11,3.4,14.4,3.9,16,3,1,2
Gorilla,207,406,-999,-999,12,39.3,252,1,4,1
Gray seal,85,325,4.7,1.5,6.2,41,310,1,3,1
Gray wolf,36.33,119.5,-999,-999,13,16.2,63,1,1,1
Ground squirrel,0.101,4,10.4,3.4,13.8,9,28,5,1,3
Guinea pig,1.04,5.5,7.4,0.8,8.2,7.6,68,5,3,4
Horse,521,655,2.1,0.8,2.9,46,336,5,5,5
Jaguar,100,157,-999,-999,10.8,22.4,100,1,1,1
Kangaroo,35,56,-999,-999,-999,16.3,33,3,5,4
Lesser short-tailed shrew,0.005,0.14,7.7,1.4,9.1,2.6,21.5,5,2,4
Little brown bat,0.01,0.25,17.9,2,19.9,24,50,1,1,1
Man,62,1320,6.1,1.9,8,100,267,1,1,1
Mole rat,0.122,3,8.2,2.4,10.6,-999,30,2,1,1
Mountain beaver,1.35,8.1,8.4,2.8,11.2,-999,45,3,1,3
Mouse,0.023,0.4,11.9,1.3,13.2,3.2,19,4,1,3
Musk shrew,0.048,0.33,10.8,2,12.8,2,30,4,1,3
N. American opossum,1.7,6.3,13.8,5.6,19.4,5,12,2,1,1
Nine-banded armadillo,3.5,10.8,14.3,3.1,17.4,6.5,120,2,1,1
Okapi,250,490,-999,1,-999,23.6,440,5,5,5
Owl monkey,0.48,15.5,15.2,1.8,17,12,140,2,2,2
Patas monkey,10,115,10,0.9,10.9,20.2,170,4,4,4
Phanlanger,1.62,11.4,11.9,1.8,13.7,13,17,2,1,2
Pig,192,180,6.5,1.9,8.4,27,115,4,4,4
Rabbit,2.5,12.1,7.5,0.9,8.4,18,31,5,5,5
Raccoon,4.288,39.2,-999,-999,12.5,13.7,63,2,2,2
Rat,0.28,1.9,10.6,2.6,13.2,4.7,21,3,1,3
Red fox,4.235,50.4,7.4,2.4,9.8,9.8,52,1,1,1
Rhesus monkey,6.8,179,8.4,1.2,9.6,29,164,2,3,2
Rock hyrax (Hetero. b),0.75,12.3,5.7,0.9,6.6,7,225,2,2,2
Rock hyrax (Procavia hab),3.6,21,4.9,0.5,5.4,6,225,3,2,3
Roe deer,14.83,98.2,-999,-999,2.6,17,150,5,5,5
Sheep,55.5,175,3.2,0.6,3.8,20,151,5,5,5
Slow loris,1.4,12.5,-999,-999,11,12.7,90,2,2,2
Star nosed mole,0.06,1,8.1,2.2,10.3,3.5,-999,3,1,2
Tenrec,0.9,2.6,11,2.3,13.3,4.5,60,2,1,2
Tree hyrax,2,12.3,4.9,0.5,5.4,7.5,200,3,1,3
Tree shrew,0.104,2.5,13.2,2.6,15.8,2.3,46,3,2,2
Vervet,4.19,58,9.7,0.6,10.3,24,210,4,3,4
Water opossum,3.5,3.9,12.8,6.6,19.4,3,14,2,1,1
=======
species,body weight in kg,brain weight in g,"slow wave (""nondreaming"") sleep (hrs/day)","paradoxical (""dreaming"") sleep (hrs/day)",total sleep (hrs/day)  (sum of slow wave and paradoxical sleep),maximum life span (years),gestation time (days),predation index (1-5),sleep exposure index (1-5),overall danger index (1-5)
African elephant,6654,5712,-999,-999,3.3,38.6,645,3,5,3
African giant pouched rat,1,6.6,6.3,2,8.3,4.5,42,3,1,3
Arctic Fox,3.385,44.5,-999,-999,12.5,14,60,1,1,1
Arctic ground squirrel,0.92,5.7,-999,-999,16.5,-999,25,5,2,3
Asian elephant,2547,4603,2.1,1.8,3.9,69,624,3,5,4
Baboon,10.55,179.5,9.1,0.7,9.8,27,180,4,4,4
Big brown bat,0.023,0.3,15.8,3.9,19.7,19,35,1,1,1
Brazilian tapir,160,169,5.2,1,6.2,30.4,392,4,5,4
Cat,3.3,25.6,10.9,3.6,14.5,28,63,1,2,1
Chimpanzee,52.16,440,8.3,1.4,9.7,50,230,1,1,1
Chinchilla,0.425,6.4,11,1.5,12.5,7,112,5,4,4
Cow,465,423,3.2,0.7,3.9,30,281,5,5,5
Desert hedgehog,0.55,2.4,7.6,2.7,10.3,-999,-999,2,1,2
Donkey,187.1,419,-999,-999,3.1,40,365,5,5,5
Eastern American mole,0.075,1.2,6.3,2.1,8.4,3.5,42,1,1,1
Echidna,3,25,8.6,0,8.6,50,28,2,2,2
European hedgehog,0.785,3.5,6.6,4.1,10.7,6,42,2,2,2
Galago,0.2,5,9.5,1.2,10.7,10.4,120,2,2,2
Genet,1.41,17.5,4.8,1.3,6.1,34,-999,1,2,1
Giant armadillo,60,81,12,6.1,18.1,7,-999,1,1,1
Giraffe,529,680,-999,0.3,-999,28,400,5,5,5
Goat,27.66,115,3.3,0.5,3.8,20,148,5,5,5
Golden hamster,0.12,1,11,3.4,14.4,3.9,16,3,1,2
Gorilla,207,406,-999,-999,12,39.3,252,1,4,1
Gray seal,85,325,4.7,1.5,6.2,41,310,1,3,1
Gray wolf,36.33,119.5,-999,-999,13,16.2,63,1,1,1
Ground squirrel,0.101,4,10.4,3.4,13.8,9,28,5,1,3
Guinea pig,1.04,5.5,7.4,0.8,8.2,7.6,68,5,3,4
Horse,521,655,2.1,0.8,2.9,46,336,5,5,5
Jaguar,100,157,-999,-999,10.8,22.4,100,1,1,1
Kangaroo,35,56,-999,-999,-999,16.3,33,3,5,4
Lesser short-tailed shrew,0.005,0.14,7.7,1.4,9.1,2.6,21.5,5,2,4
Little brown bat,0.01,0.25,17.9,2,19.9,24,50,1,1,1
Man,62,1320,6.1,1.9,8,100,267,1,1,1
Mole rat,0.122,3,8.2,2.4,10.6,-999,30,2,1,1
Mountain beaver,1.35,8.1,8.4,2.8,11.2,-999,45,3,1,3
Mouse,0.023,0.4,11.9,1.3,13.2,3.2,19,4,1,3
Musk shrew,0.048,0.33,10.8,2,12.8,2,30,4,1,3
N. American opossum,1.7,6.3,13.8,5.6,19.4,5,12,2,1,1
Nine-banded armadillo,3.5,10.8,14.3,3.1,17.4,6.5,120,2,1,1
Okapi,250,490,-999,1,-999,23.6,440,5,5,5
Owl monkey,0.48,15.5,15.2,1.8,17,12,140,2,2,2
Patas monkey,10,115,10,0.9,10.9,20.2,170,4,4,4
Phanlanger,1.62,11.4,11.9,1.8,13.7,13,17,2,1,2
Pig,192,180,6.5,1.9,8.4,27,115,4,4,4
Rabbit,2.5,12.1,7.5,0.9,8.4,18,31,5,5,5
Raccoon,4.288,39.2,-999,-999,12.5,13.7,63,2,2,2
Rat,0.28,1.9,10.6,2.6,13.2,4.7,21,3,1,3
Red fox,4.235,50.4,7.4,2.4,9.8,9.8,52,1,1,1
Rhesus monkey,6.8,179,8.4,1.2,9.6,29,164,2,3,2
Rock hyrax (Hetero. b),0.75,12.3,5.7,0.9,6.6,7,225,2,2,2
Rock hyrax (Procavia hab),3.6,21,4.9,0.5,5.4,6,225,3,2,3
Roe deer,14.83,98.2,-999,-999,2.6,17,150,5,5,5
Sheep,55.5,175,3.2,0.6,3.8,20,151,5,5,5
Slow loris,1.4,12.5,-999,-999,11,12.7,90,2,2,2
Star nosed mole,0.06,1,8.1,2.2,10.3,3.5,-999,3,1,2
Tenrec,0.9,2.6,11,2.3,13.3,4.5,60,2,1,2
Tree hyrax,2,12.3,4.9,0.5,5.4,7.5,200,3,1,3
Tree shrew,0.104,2.5,13.2,2.6,15.8,2.3,46,3,2,2
Vervet,4.19,58,9.7,0.6,10.3,24,210,4,3,4
Water opossum,3.5,3.9,12.8,6.6,19.4,3,14,2,1,1
>>>>>>> 0bd8726425350c315a0db0ebcafebf9049d158a7
Yellow-bellied marmot,4.05,17,-999,-999,-999,13,38,3,1,1